Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximite_zones_industrielles,Densite_population,Qualite_air
29.5,79.8,12.8,29.8,33.2,13.3,1.1,5.9,389.0,1
27.7,60.2,0.4,5.7,25.3,6.2,1.05,12.9,218.0,0
26.8,98.6,0.9,21.6,34.8,12.9,2.0,6.6,712.0,2
30.1,75.1,20.5,33.4,28.2,5.4,1.44,6.2,648.0,1
22.3,65.7,1.0,5.7,26.8,3.5,0.91,13.3,282.0,0
28.0,86.9,7.1,16.5,19.6,7.8,1.77,5.7,665.0,1
35.4,75.0,10.0,18.8,24.0,13.6,1.5,6.2,390.0,1
36.0,75.3,43.4,59.5,35.1,22.1,1.97,3.6,468.0,2
27.1,74.1,4.7,8.7,25.3,5.9,1.0,13.5,555.0,0
24.9,66.0,5.4,7.5,25.0,0.7,1.09,10.9,263.0,0
23.2,69.7,5.8,14.1,24.6,3.5,0.97,12.3,579.0,0
34.9,63.0,59.7,69.2,29.5,8.2,1.07,5.2,568.0,1
44.8,97.8,35.2,58.0,38.3,29.6,2.8,6.3,816.0,3
41.3,90.6,70.6,88.5,45.0,30.2,2.93,6.8,902.0,3
33.5,82.9,21.9,45.6,37.1,20.9,1.72,4.7,591.0,2
27.7,83.6,3.8,19.9,32.9,17.8,2.09,5.3,632.0,2
38.6,111.4,9.9,20.0,36.3,22.5,1.74,7.5,591.0,2
24.1,72.6,27.7,36.5,35.3,6.5,1.95,8.4,493.0,1
26.8,60.2,4.4,10.1,25.7,4.5,1.29,12.6,234.0,0
33.8,66.1,55.5,79.2,35.2,18.6,2.06,4.5,636.0,2
18.5,57.3,7.7,11.1,22.8,4.7,1.1,10.2,600.0,0
30.3,69.4,41.8,51.2,22.5,5.8,1.57,6.1,434.0,1
23.8,44.4,7.5,11.9,23.1,3.1,0.9,11.5,602.0,0
24.8,39.8,58.4,68.2,26.5,3.7,0.93,16.5,397.0,0
26.8,83.0,53.4,69.0,17.6,15.2,1.82,7.5,668.0,1
26.5,51.7,0.7,5.3,10.7,7.1,1.05,10.2,555.0,0
33.4,52.7,53.5,63.4,26.5,10.0,1.32,12.4,329.0,1
31.6,100.3,6.4,21.2,43.5,14.5,1.79,8.1,558.0,2
32.2,60.7,48.9,65.1,41.1,14.4,2.79,2.9,875.0,3
39.1,66.8,9.7,21.2,34.1,5.4,2.33,6.6,679.0,2
22.4,42.8,1.1,8.7,15.2,7.0,1.03,12.1,216.0,0
27.2,46.3,14.8,18.8,19.7,7.3,1.05,10.8,496.0,0
30.1,91.0,32.1,38.5,23.7,10.6,1.44,6.0,363.0,1
32.8,58.9,30.1,52.0,33.6,22.4,1.73,3.4,476.0,2
29.6,76.1,31.0,48.7,51.2,9.3,2.7,2.9,788.0,3
22.6,43.5,21.0,24.9,24.5,4.8,0.99,10.0,284.0,0
25.4,71.8,1.8,11.8,21.3,10.2,1.33,7.2,506.0,1
21.8,73.4,12.1,12.0,26.2,6.6,1.04,25.8,224.0,0
29.9,51.4,2.8,14.2,23.7,10.0,1.43,9.0,321.0,1
22.8,67.9,66.8,79.8,28.3,4.3,1.17,5.9,397.0,1
42.5,80.9,33.3,44.4,34.1,11.1,2.28,4.2,682.0,2
37.4,105.6,22.8,44.9,31.1,9.5,2.68,3.6,563.0,2
36.6,109.9,0.4,16.4,39.9,13.0,1.57,5.9,690.0,2
29.1,77.1,61.8,76.5,28.5,8.4,1.71,5.7,591.0,1
29.7,72.2,9.0,10.4,19.6,5.6,1.09,10.6,409.0,0
29.9,84.5,11.5,24.0,22.2,7.7,1.69,5.1,424.0,1
22.8,52.5,10.8,16.0,15.5,9.5,1.07,11.2,489.0,0
35.9,69.9,6.2,17.2,34.0,12.5,2.18,7.0,447.0,2
30.6,41.9,7.0,11.5,17.0,6.5,1.12,11.3,486.0,0
35.2,85.5,0.5,12.4,30.8,12.2,1.91,6.9,318.0,1
20.6,60.3,33.8,38.3,19.9,1.1,1.07,10.1,207.0,0
22.5,40.7,26.5,31.8,26.4,7.0,1.18,10.9,452.0,0
26.8,75.7,16.6,23.9,21.0,1.6,1.01,11.4,390.0,0
36.4,111.6,35.8,67.0,43.1,8.3,2.32,8.3,813.0,3
25.1,42.6,12.3,20.1,25.0,6.3,1.08,13.7,455.0,0
36.2,63.6,16.1,27.3,23.4,9.6,1.73,7.6,574.0,1
35.4,78.9,3.9,15.7,33.5,15.8,1.97,4.9,695.0,2
40.3,66.1,11.8,21.0,43.4,15.8,2.02,6.2,824.0,2
22.7,89.6,19.5,35.4,27.0,10.8,1.37,6.3,632.0,1
32.7,93.0,12.6,23.5,23.5,0.8,1.51,6.0,598.0,1
33.3,73.1,21.6,33.1,44.5,7.4,1.98,8.8,723.0,2
28.0,65.5,0.3,7.1,11.8,5.9,1.12,14.3,337.0,0
29.1,76.2,2.0,7.3,20.3,5.4,0.98,17.9,404.0,0
25.9,59.9,2.4,6.1,31.7,13.9,1.47,5.8,388.0,1
42.0,77.9,9.5,31.0,37.6,17.0,2.38,12.0,484.0,3
32.9,63.1,12.1,17.5,24.7,12.3,1.57,5.1,467.0,1
29.8,85.5,6.2,15.4,34.0,4.5,1.34,11.3,405.0,1
32.0,88.8,4.7,13.5,29.4,11.5,1.62,7.9,604.0,1
34.1,79.1,165.5,190.7,45.3,9.0,1.95,5.3,846.0,3
42.8,116.1,10.3,31.6,36.9,15.3,2.34,4.1,755.0,3
35.5,86.0,75.7,86.8,19.8,12.1,1.79,8.6,612.0,1
26.2,52.6,11.3,11.5,29.3,14.6,1.55,7.3,397.0,1
26.1,54.5,1.5,5.8,17.2,3.1,0.98,17.9,327.0,0
19.1,64.9,2.5,10.5,26.0,6.0,1.08,10.4,368.0,0
34.1,72.9,2.2,15.6,33.6,4.9,1.43,5.6,526.0,1
23.2,88.9,55.5,60.9,31.4,13.1,1.19,5.5,351.0,1
27.6,79.3,14.0,40.2,37.6,10.6,2.24,3.6,608.0,2
19.5,42.7,3.8,8.6,23.8,1.7,1.06,10.4,390.0,0
31.2,54.0,16.4,22.8,23.0,3.9,1.59,9.4,492.0,1
31.5,53.9,2.5,10.8,29.9,12.7,1.58,5.3,395.0,1
47.7,69.2,41.8,50.7,38.3,22.2,2.58,5.9,651.0,2
27.7,81.8,1.1,8.9,26.5,20.1,1.33,5.2,317.0,1
24.6,52.4,4.1,18.1,27.0,14.7,1.4,8.8,356.0,1
36.4,107.9,16.4,32.0,25.7,14.7,2.03,3.6,686.0,2
31.2,54.1,8.2,15.0,16.3,4.6,0.88,14.8,531.0,0
37.6,94.4,19.5,27.3,50.3,6.2,2.47,3.7,889.0,3
27.4,76.3,10.4,14.1,10.3,5.4,0.91,10.3,328.0,0
29.0,79.2,66.5,82.1,25.8,16.7,1.51,5.3,575.0,1
26.5,41.4,6.8,11.8,26.6,6.4,0.88,12.4,383.0,0
25.0,63.5,24.7,27.0,16.1,2.0,0.91,15.9,407.0,0
41.0,82.3,90.1,109.2,48.8,27.5,1.52,4.3,450.0,2
26.5,79.2,51.0,58.8,22.3,12.0,1.54,5.2,344.0,1
36.0,75.2,4.7,10.5,33.5,0.4,1.72,6.5,336.0,1
23.6,76.1,1.2,5.8,25.8,4.5,1.01,10.2,306.0,0
26.7,48.8,19.7,23.8,31.8,5.3,1.27,5.3,538.0,1
28.2,75.8,164.9,168.7,22.9,15.4,1.53,5.5,346.0,1
31.6,105.9,0.4,15.7,38.4,11.9,1.34,6.5,421.0,2
21.8,43.3,1.3,5.1,19.8,8.0,0.84,10.6,451.0,0
29.4,56.0,24.3,41.9,30.5,5.3,1.64,12.5,375.0,1
34.6,86.1,17.8,28.9,37.4,10.2,1.44,6.4,414.0,1
30.5,62.3,13.3,18.8,19.7,5.2,1.01,11.4,495.0,0
26.5,86.3,28.0,54.1,56.6,9.6,2.02,4.8,603.0,3
33.5,58.9,12.1,29.4,49.8,16.7,2.02,3.1,678.0,3
24.4,59.3,8.9,15.7,26.4,6.6,0.94,10.4,576.0,0
22.6,54.6,20.7,25.1,14.1,4.0,1.04,16.1,429.0,0
25.6,87.4,23.6,32.3,29.2,3.1,1.59,6.2,582.0,1
24.6,71.2,21.1,41.7,27.0,17.7,1.93,3.4,528.0,2
42.2,83.4,40.3,49.7,36.8,15.8,1.39,3.5,766.0,2
28.3,82.7,11.7,19.7,28.6,14.5,1.27,5.2,430.0,1
39.8,78.5,21.5,41.4,32.3,29.5,2.5,5.8,790.0,2
24.4,66.2,2.9,8.6,20.8,5.6,0.93,13.1,467.0,0
20.3,63.0,21.7,24.1,16.5,4.3,0.89,17.1,191.0,0
21.3,48.3,2.4,5.8,15.5,6.3,1.08,10.5,296.0,0
28.4,44.5,8.7,16.6,25.0,0.9,1.03,10.3,208.0,0
22.2,43.1,5.1,9.0,15.7,3.2,1.0,10.7,377.0,0
31.3,73.8,33.8,46.6,31.0,22.8,1.92,4.6,681.0,2
26.3,74.5,12.7,18.3,21.1,1.1,1.01,13.1,365.0,0
30.9,60.3,56.3,68.7,22.8,10.5,1.4,7.4,426.0,1
27.8,75.4,6.0,14.4,16.8,12.8,1.47,5.7,539.0,1
32.3,80.6,11.0,17.6,25.8,3.1,1.26,6.7,670.0,1
26.0,66.5,1.7,5.4,20.2,5.8,1.0,10.2,399.0,0
23.5,60.1,0.4,7.2,17.2,6.1,1.02,10.1,384.0,0
25.7,67.7,43.0,52.4,22.5,7.2,1.35,6.0,415.0,1
24.0,45.3,20.8,25.7,12.9,3.6,0.77,13.4,346.0,0
31.8,80.1,5.6,7.6,24.4,16.6,1.56,10.4,679.0,1
33.2,90.6,42.9,57.2,22.4,13.0,2.44,7.5,497.0,2
27.4,73.5,17.1,22.1,15.7,8.3,0.92,12.0,572.0,0
35.1,82.5,3.8,13.0,45.4,3.9,2.24,3.7,703.0,2
33.1,61.0,27.7,39.2,25.8,10.2,1.84,4.8,448.0,2
22.9,50.0,19.2,23.4,18.8,6.0,0.95,12.2,225.0,0
31.4,94.3,68.9,72.8,24.0,14.3,1.99,6.7,347.0,1
23.9,65.3,26.1,33.5,22.3,1.4,1.03,12.6,499.0,0
38.6,72.2,48.8,67.7,36.2,28.6,2.21,3.0,860.0,3
49.8,79.2,70.1,82.7,50.3,20.6,1.91,5.2,617.0,2
23.1,60.1,1.5,8.0,19.3,6.3,1.08,13.3,340.0,0
26.9,53.5,20.0,28.4,29.5,5.3,1.36,8.5,313.0,1
28.7,77.3,23.1,24.7,12.1,7.6,1.02,10.7,577.0,0
31.0,71.4,4.3,10.3,19.5,7.9,0.99,11.1,212.0,0
32.8,73.6,18.6,39.5,21.4,12.2,2.21,4.4,590.0,2
22.4,57.3,5.8,9.6,23.6,4.3,1.08,11.0,595.0,0
27.2,52.7,7.4,13.9,22.2,5.4,0.94,11.4,577.0,0
26.6,64.1,3.0,11.3,26.8,3.7,0.95,11.1,550.0,0
22.9,52.6,7.6,15.3,26.3,4.4,0.99,11.1,517.0,0
30.7,71.1,26.1,34.5,19.0,3.2,0.78,11.3,512.0,0
20.2,40.4,3.6,13.5,20.5,5.4,1.03,11.9,475.0,0
26.2,80.8,10.2,16.3,13.9,3.2,0.86,12.0,328.0,0
25.4,73.2,28.7,35.4,12.3,6.0,1.13,10.1,371.0,0
33.4,,33.0,41.0,25.4,10.8,1.64,7.0,406.0,1
26.7,41.7,13.2,18.9,18.9,6.3,0.9,12.3,550.0,0
34.5,71.4,29.5,52.6,37.9,17.1,2.09,3.9,744.0,2
40.5,70.4,35.8,44.7,22.2,9.7,1.33,5.5,398.0,1
35.6,75.3,48.1,63.6,43.7,29.2,3.03,2.9,587.0,3
27.1,79.9,31.7,50.9,47.6,5.2,2.0,6.8,447.0,2
26.7,85.4,4.9,11.9,26.3,19.4,2.22,5.2,421.0,2
39.2,111.2,25.7,,45.6,25.2,2.25,4.5,692.0,3
38.1,96.6,59.5,79.6,40.5,24.4,2.41,4.9,863.0,3
26.5,78.9,6.3,18.5,34.9,11.6,1.95,5.0,555.0,1
23.2,40.3,2.3,8.9,19.5,5.7,0.89,11.1,255.0,0
33.6,48.8,19.2,27.3,17.1,4.3,1.04,11.1,267.0,0
27.0,67.8,24.8,28.9,12.9,3.9,1.1,14.7,559.0,0
41.9,90.1,26.6,50.7,46.3,18.2,2.38,5.1,531.0,3
29.9,78.6,25.1,30.1,26.5,7.2,1.49,7.3,323.0,1
26.4,76.0,16.0,32.9,31.8,10.6,2.15,4.8,548.0,2
32.6,71.9,48.0,60.0,30.8,6.8,2.0,5.0,388.0,1
16.7,52.9,0.0,7.3,19.9,6.9,0.95,11.0,229.0,0
21.5,59.9,4.1,5.5,15.1,7.1,0.97,11.8,365.0,0
29.9,54.2,24.6,38.5,30.9,14.1,1.67,7.0,359.0,1
30.6,47.9,14.4,18.8,16.1,2.4,1.05,12.4,386.0,0
29.2,77.7,35.4,36.1,37.1,17.9,2.24,6.6,571.0,2
29.4,42.7,1.7,7.8,19.1,4.5,0.84,13.4,228.0,0
33.3,66.3,13.6,25.8,19.3,12.9,1.41,8.4,460.0,1
28.9,53.4,5.4,22.0,26.2,18.6,1.44,6.7,449.0,1
34.1,62.3,130.0,137.4,33.6,7.1,2.04,4.1,442.0,2
28.7,67.4,11.0,15.2,19.2,8.3,1.13,10.3,481.0,0
35.3,65.3,25.6,36.8,19.2,6.0,1.57,5.5,576.0,1
27.9,48.1,1.3,14.6,32.5,0.9,1.55,7.0,449.0,1
24.1,74.7,5.1,12.1,10.5,6.4,1.07,11.0,454.0,0
31.3,100.0,11.1,35.6,39.1,35.8,1.95,2.8,754.0,3
30.4,78.9,17.5,30.8,26.1,7.9,1.39,6.3,608.0,1
26.8,67.2,7.9,17.1,25.1,6.7,0.99,11.9,547.0,0
28.6,83.1,19.9,29.1,35.8,12.3,1.93,7.4,674.0,1
25.8,62.6,11.7,16.7,10.0,6.6,1.01,15.8,413.0,0
28.9,49.8,0.3,1.5,20.5,8.5,1.13,11.4,485.0,0
42.9,104.0,52.5,80.9,22.9,13.0,2.42,4.4,680.0,2
44.2,101.0,2.6,10.2,30.3,24.3,1.91,3.5,408.0,2
21.0,93.8,6.3,19.4,37.5,13.6,2.18,3.9,669.0,2
31.3,84.7,35.5,42.0,17.9,11.1,1.23,5.6,509.0,1
23.0,48.9,0.5,8.8,20.2,4.5,1.08,11.9,496.0,0
38.5,95.4,66.9,92.3,46.0,15.7,2.63,4.1,654.0,3
29.6,46.2,0.8,4.4,26.8,3.6,1.03,11.9,300.0,0
40.3,73.4,11.3,29.9,31.4,25.3,2.11,3.9,380.0,2
41.2,85.9,3.4,21.2,39.6,8.4,2.27,3.5,689.0,2
29.1,41.5,0.9,4.8,18.7,3.4,1.02,12.6,337.0,0
26.7,53.8,6.9,21.8,25.3,7.7,1.59,6.4,295.0,1
29.7,69.0,18.0,26.3,28.9,9.8,1.58,5.4,674.0,1
29.5,69.8,5.9,21.1,27.6,18.9,1.82,3.6,694.0,2
40.0,83.4,5.0,25.6,45.0,14.5,2.4,4.7,927.0,3
31.6,77.8,12.3,18.1,31.8,8.9,1.72,3.8,590.0,2
29.5,67.3,5.1,11.7,20.5,3.6,1.11,11.2,379.0,0
32.2,66.7,22.8,34.7,29.6,17.6,2.69,9.1,441.0,2
28.7,63.9,13.5,25.3,16.2,10.9,1.17,6.3,478.0,1
26.4,51.1,0.7,3.6,27.8,9.6,1.09,10.9,281.0,0
37.0,100.4,19.8,34.2,32.7,15.8,2.18,3.9,745.0,2
32.2,84.1,4.3,13.3,20.1,12.6,1.38,6.7,401.0,1
22.9,50.1,7.0,13.7,12.1,8.4,1.09,13.6,589.0,0
31.5,73.7,1.1,24.1,37.5,23.6,1.78,5.4,533.0,2
52.3,74.5,14.9,24.0,29.7,19.3,1.78,3.6,515.0,2
35.7,82.0,40.5,57.9,25.3,13.6,2.14,7.7,614.0,2
32.2,70.0,3.5,10.2,25.4,19.3,2.59,3.9,735.0,2
35.6,57.6,19.4,33.5,35.1,10.0,1.57,5.1,424.0,1
23.4,54.7,4.0,12.3,24.1,2.8,0.87,10.2,433.0,0
24.8,80.3,9.2,14.0,12.2,4.8,0.9,11.1,277.0,0
31.3,75.0,37.8,47.1,32.6,11.0,1.87,5.6,451.0,2
27.2,42.8,12.5,15.0,14.6,3.3,1.1,10.9,284.0,0
26.2,64.2,1.9,6.6,19.7,6.2,1.05,13.8,369.0,0
51.1,70.0,2.2,3.8,39.8,20.1,2.65,4.2,684.0,3
33.8,71.4,35.9,59.1,36.1,15.0,1.74,3.6,619.0,2
34.6,80.3,8.6,29.2,31.5,7.4,1.28,9.5,326.0,1
34.6,71.6,21.7,37.5,30.7,16.4,2.18,4.1,754.0,2
27.4,78.0,5.0,21.9,33.8,16.5,1.57,5.6,468.0,1
26.8,42.1,5.4,11.7,20.1,4.5,0.85,13.1,276.0,0
33.2,72.0,4.1,16.3,24.8,6.6,2.02,5.9,662.0,2
40.8,93.8,11.3,27.2,53.4,23.2,2.72,4.7,688.0,3
16.0,64.1,13.4,18.9,24.4,2.0,1.0,12.2,487.0,0
30.9,73.7,5.5,10.2,32.5,2.3,1.83,6.9,653.0,1
35.0,80.2,11.9,24.4,30.4,14.1,1.71,4.5,617.0,2
31.2,86.3,39.3,52.8,16.8,9.9,1.73,5.9,571.0,1
26.0,86.8,85.4,95.8,24.8,3.9,1.23,5.4,481.0,1
25.4,74.2,40.6,46.1,19.7,9.9,1.32,6.1,459.0,1
38.5,83.8,19.5,31.0,28.0,14.3,2.22,7.3,443.0,2
30.9,89.0,7.3,30.9,37.3,6.8,2.21,4.4,660.0,2
45.5,67.6,51.4,64.5,36.9,9.4,1.93,4.2,467.0,2
23.2,86.5,3.1,21.4,22.3,15.0,1.56,7.3,601.0,1
38.9,77.5,5.2,25.6,43.7,15.4,2.32,4.2,610.0,2
32.8,63.6,33.1,54.9,33.0,19.6,1.48,4.7,655.0,2
49.9,91.6,26.6,51.1,31.8,29.0,2.48,5.4,849.0,3
30.8,84.4,34.2,50.3,27.8,16.1,1.3,5.1,416.0,1
26.6,66.0,2.2,3.7,27.7,11.7,1.63,6.6,395.0,1
40.6,92.2,80.4,103.6,45.8,12.1,1.97,6.8,744.0,2
26.0,45.3,5.3,12.4,27.4,7.2,0.78,18.9,546.0,0
33.0,47.0,16.4,23.0,26.3,4.9,1.22,9.8,655.0,1
17.7,75.2,3.5,8.0,18.6,2.0,1.04,13.0,593.0,0
31.5,55.4,50.2,68.7,31.5,6.0,2.13,4.4,529.0,2
40.0,94.4,19.9,49.3,51.0,22.5,2.47,4.1,601.0,3
39.5,70.4,9.9,30.3,48.3,36.8,2.68,3.2,896.0,3
25.3,73.8,6.5,19.1,32.4,12.6,1.2,5.5,419.0,1
18.9,63.2,6.2,8.0,13.9,5.0,1.09,10.3,410.0,0
28.2,73.5,3.8,14.8,24.8,11.1,1.11,7.0,577.0,1
34.3,102.4,38.8,58.4,40.4,12.8,2.09,2.7,811.0,3
27.8,56.7,6.7,18.0,26.9,6.1,1.64,6.1,371.0,1
26.7,52.8,27.3,31.8,15.6,1.9,0.89,11.9,318.0,0
38.2,110.1,0.1,12.5,41.7,15.8,1.98,6.2,709.0,2
27.8,79.0,16.6,24.0,25.5,5.2,1.06,10.3,359.0,0
22.1,41.0,14.8,20.3,12.8,4.9,1.18,15.0,217.0,0
22.9,57.4,15.9,22.8,20.6,7.5,0.91,10.4,336.0,0
21.9,45.1,13.9,15.3,26.3,1.4,0.92,11.4,262.0,0
22.7,68.4,14.6,25.8,26.5,3.0,1.37,5.4,321.0,1
22.4,69.0,9.2,12.2,18.7,4.0,1.15,12.8,245.0,0
26.1,61.7,5.3,8.6,19.5,9.1,1.07,15.4,381.0,0
23.9,62.9,8.9,17.3,17.4,4.5,0.93,13.6,494.0,0
24.6,62.7,13.5,17.9,29.4,7.9,1.51,6.2,510.0,1
25.4,80.0,3.5,11.4,24.1,8.9,1.03,13.7,373.0,0
25.5,63.8,2.2,4.3,24.9,4.7,1.1,13.4,459.0,0
27.8,42.1,1.5,5.3,13.5,3.8,1.09,10.8,527.0,0
28.2,61.2,1.2,10.9,22.7,7.1,1.86,8.6,501.0,1
37.7,83.0,109.4,119.8,43.1,11.3,1.64,6.1,614.0,2
31.3,73.4,512.7693772238695,88.8,54.1,17.1,2.54,2.6,755.0,3
30.4,51.1,1.2,8.0,17.1,4.7,1.0,11.6,576.0,0
42.6,106.6,82.4,97.2,50.6,16.0,3.17,2.8,719.0,3
32.4,88.5,37.8,57.3,48.5,21.2,2.23,3.4,769.0,3
24.0,43.4,5.4,9.5,15.8,1.7,0.98,11.0,441.0,0
28.2,62.7,0.1,7.5,17.4,4.7,0.87,12.0,528.0,0
31.2,62.3,0.9,8.7,20.4,15.0,1.49,8.6,599.0,1
33.2,57.3,6.3,20.3,31.2,5.8,1.69,8.2,316.0,1
43.4,78.1,37.0,52.3,44.6,16.0,2.03,2.5,799.0,3
36.0,89.8,33.0,47.9,26.0,-0.1,1.74,4.3,490.0,2
33.1,57.8,17.2,33.0,28.3,9.2,1.38,5.2,642.0,1
34.4,94.5,25.5,48.8,26.3,9.9,1.47,9.3,457.0,2
23.1,39.7,23.4,27.8,20.4,9.6,1.06,10.5,314.0,0
23.7,52.4,0.3,4.5,18.7,6.3,1.04,10.7,313.0,0
42.0,77.8,36.0,43.7,52.3,22.3,2.42,5.6,846.0,3
35.8,80.0,37.1,44.5,38.0,14.8,2.03,3.5,538.0,3
32.0,89.4,3.6,17.4,21.8,15.8,1.34,5.4,325.0,1
23.8,79.3,9.2,10.6,22.5,5.5,1.05,12.3,544.0,0
26.6,95.9,163.1,172.9,32.4,22.5,1.84,4.2,590.0,2
27.0,73.6,0.9,3.1,13.9,4.4,1.2,10.2,488.0,0
35.3,70.3,27.3,31.9,27.4,11.1,1.75,9.3,635.0,1
25.8,68.3,12.6,19.0,13.0,6.6,1.09,11.2,310.0,0
22.3,66.1,11.3,15.4,26.8,14.1,1.32,5.5,497.0,1
36.7,44.6,2.4,5.8,28.8,18.1,1.63,8.7,502.0,2
31.4,81.3,12.3,15.1,31.7,11.9,1.44,5.5,447.0,1
22.5,56.1,27.4,33.8,19.0,5.4,0.87,16.6,492.0,0
35.3,82.2,73.9,91.1,34.3,7.1,2.54,5.5,659.0,2
31.3,71.5,20.2,28.6,21.6,4.4,1.02,13.7,306.0,0
31.7,71.7,18.9,24.8,13.5,3.7,0.78,23.4,369.0,0
28.3,70.2,47.1,53.9,28.6,11.5,1.59,7.7,604.0,1
55.9,87.8,33.9,52.7,28.6,17.5,2.51,2.9,834.0,3
28.7,69.0,19.1,33.7,19.4,11.0,1.24,9.7,589.0,1
18.0,43.2,5.4,10.0,16.4,2.2,1.07,14.5,571.0,0
27.6,51.3,6.0,12.7,32.6,6.4,1.44,5.1,386.0,1
26.6,49.0,8.9,12.6,15.1,0.3,0.79,11.8,337.0,0
28.7,55.1,20.5,23.6,17.3,2.6,0.86,11.9,347.0,0
30.3,58.1,1.8,13.5,29.6,6.5,1.54,8.5,524.0,1
20.6,88.6,47.9,57.9,28.9,12.3,1.94,5.4,412.0,1
23.5,62.3,6.9,13.9,18.3,4.1,0.92,11.4,196.0,0
26.6,56.1,1.6,4.6,23.2,4.4,0.87,10.2,322.0,0
36.6,93.3,46.6,54.0,29.8,19.6,2.12,4.7,624.0,2
29.2,73.0,26.4,30.5,9.3,4.1,1.14,11.2,350.0,0
31.9,70.7,20.2,28.7,29.2,9.7,1.39,6.4,689.0,1
23.1,50.9,6.1,9.2,14.0,8.3,0.87,11.0,287.0,0
20.9,62.3,7.4,11.1,20.6,3.0,0.96,13.1,295.0,0
39.8,108.4,30.3,39.3,32.2,21.5,2.03,3.0,572.0,3
30.6,92.3,14.2,30.6,22.4,14.4,1.6,5.6,574.0,1
37.9,67.4,57.9,71.0,21.3,12.3,1.89,4.1,824.0,2
26.7,77.8,4.8,10.4,20.8,6.4,1.05,15.3,294.0,0
34.7,87.7,44.8,46.0,35.8,11.9,2.11,4.5,473.0,2
34.8,70.4,28.9,46.6,35.7,14.4,1.61,4.1,805.0,2
31.8,67.6,9.8,15.1,29.2,2.1,1.64,6.7,454.0,1
49.2,81.8,89.9,113.7,48.6,21.6,1.97,2.7,654.0,3
46.4,79.4,116.9,130.4,39.5,25.1,3.14,2.8,577.0,3
23.6,72.6,1.1,4.7,14.0,4.0,1.12,13.0,300.0,0
29.1,58.0,8.9,13.8,14.6,5.1,0.97,11.3,582.0,0
34.7,61.7,30.8,38.5,44.7,26.7,2.31,6.4,436.0,2
21.4,65.3,9.9,12.7,25.5,2.5,1.01,11.7,295.0,0
29.2,54.0,4.7,17.1,37.9,18.2,1.75,7.4,543.0,1
29.9,69.7,4.0,13.5,25.5,10.5,1.52,11.8,668.0,1
25.1,43.3,23.0,28.6,24.2,3.9,1.01,16.0,392.0,0
23.2,44.4,4.2,10.9,15.6,8.9,0.86,10.2,289.0,0
23.3,71.1,23.0,39.0,29.5,11.6,1.21,15.6,404.0,1
30.1,88.2,66.2,70.9,25.0,14.4,1.37,6.4,512.0,1
35.0,92.4,7.4,29.0,25.0,17.9,2.16,6.8,718.0,2
31.3,75.9,2.7,9.3,29.5,10.7,1.17,5.1,697.0,1
31.5,67.6,33.4,46.2,22.8,0.7,2.07,5.4,446.0,1
35.7,99.9,20.2,33.8,37.7,18.5,2.08,7.1,599.0,2
37.3,68.2,4.3,20.8,40.3,20.0,2.01,5.4,681.0,2
21.9,68.0,32.0,37.2,25.5,1.8,1.14,12.3,211.0,0
24.9,47.4,26.1,32.3,11.3,9.8,0.89,17.5,266.0,0
33.2,59.6,11.5,15.6,23.6,6.4,1.25,5.6,463.0,1
25.1,81.3,11.9,21.9,33.8,8.1,1.48,13.9,625.0,1
27.6,62.5,8.7,16.0,18.4,3.7,1.02,10.4,235.0,0
26.8,50.9,17.8,25.3,21.3,3.2,0.98,11.5,346.0,0
37.5,95.7,6.1,28.0,32.9,20.7,1.73,8.9,802.0,2
26.7,77.3,27.1,33.3,24.1,2.5,1.12,10.3,501.0,0
23.9,79.8,35.5,48.2,25.8,11.1,1.77,8.8,441.0,1
29.8,112.5,40.7,55.3,37.6,25.4,3.17,5.4,662.0,3
26.2,85.9,48.1,60.2,19.8,9.0,1.56,7.1,286.0,1
26.9,74.7,2.7,10.7,25.6,4.3,0.99,10.2,271.0,0
37.4,77.5,14.6,21.9,28.2,6.5,1.09,5.8,642.0,1
26.7,61.6,12.9,21.1,20.3,7.5,0.99,10.7,577.0,0
36.6,113.1,143.0,167.3,41.8,11.7,2.43,2.7,644.0,3
37.1,105.0,124.5,136.4,41.9,26.0,2.6,2.6,849.0,3
19.6,74.7,1.0,4.6,22.9,4.1,0.94,10.4,388.0,0
27.0,66.2,6.3,9.7,13.4,4.6,1.0,13.3,299.0,0
33.8,68.4,24.4,30.4,25.6,7.7,1.26,5.4,599.0,1
24.7,55.9,18.5,23.2,18.6,2.7,0.94,10.5,365.0,0
21.7,76.4,20.8,25.5,20.9,2.8,0.95,10.1,506.0,0
24.6,77.2,6.5,11.2,24.4,5.4,0.65,11.4,573.0,0
26.5,45.3,9.4,15.0,13.1,0.4,0.99,11.0,224.0,0
22.1,53.8,6.9,19.6,18.8,5.7,,9.6,457.0,1
39.5,109.6,84.7,99.4,30.1,18.9,3.48,3.2,792.0,3
28.4,65.8,10.9,22.2,27.5,11.9,1.7,6.1,524.0,1
32.6,78.3,4.6,24.6,25.8,21.2,1.97,5.9,540.0,2
31.9,65.2,15.9,19.4,30.3,28.2,1.82,8.2,771.0,2
25.4,75.3,0.7,2.9,23.3,7.3,0.85,17.0,325.0,0
43.2,85.0,152.7,178.1,38.6,28.2,2.7,2.8,627.0,3
23.3,70.8,472.9831452885549,36.1,23.5,8.4,1.43,7.6,450.0,1
